Lemma	Mark	Nature	Description	Formes communes	Code
podagricus	, a, um	ADJqua	 	podagricus, podagricae	21
Podalirius	, i	NOMpro	Auto. 	Podalirius	12
podex	, icis	NOMcom	 	podex, podice	13
podium	, i	NOMcom	 	podio, podium	12
Poeantius		ADJqua	Auto. 	Poeantius, Poeantium	2
Poeas	, Poeantis	NOMpro	Auto. 	Poeans, Poeante	13
poema	, tis	NOMcom	 	poemata, poema	16
poematium	, i	NOMcom	Auto. 	poematia	12
poena	, ae	NOMcom	 	poenas, poena	11
Poena	, ae	NOMpro	 		11
Poeni	, i	NOMpro	 		12
Poeninus		ADJqua	Auto. 	Poeninis, Poeninae	2
Poenius	, i	NOMpro	Auto. 	Poenius	12
Poenus	, a, um	ADJqua	 		21
poesis		NOMcom	Auto. 	poesis	13
poeta	, ae	NOMcom	 	poetae, poeta	11
poetica	, ae	NOMcom	 	poeticae, poetica	11
poetica2		ADV	Auto. 	poetice	6
poetice		ADV	Auto. 	poetice	6
poetice1		NOMcom	Auto. (Greek)	poetice, poeticen	17
poetice2		ADV	Auto. 	poetice	6
poeticus	, a, um	ADJqua	 	poetica, poetico	21
Poetouio	, Poetouionis	NOMpro	Auto. 	Poetouionem	13
poetria	, ae	NOMcom	 	poetria, poetriae	11
poetris	, dis	NOMcom	 (Greek)	poetridas	17
pol		INJ	 	pol	90
Poleas		NOMpro	 (Greek)		17
Polemarchus	, i	NOMpro	 		12
Polemocrates	, Polemocratis	NOMpro	Auto. (Greek)	Polemocrates, Polemocratem	17
Polemon	, Polemonis	NOMpro	Auto. 	Polemonis, Polemonem	13
polenta	, ae	NOMcom	 	polenta, polentam	11
polentarius	, i	ADJqua	Auto. 	polentarium	2
polio1		NOMcom	 		13
polio2	, ire	VER	 	politus, politum	54
Poliorcetes		NOMpro	Auto. (Greek)	Poliorcetes	17
polite		ADV	Auto. 	polite	6
Polites		NOMpro	Auto. (Greek)	Polites, Polite	17
politio	, nis	NOMcom	 		13
politor	, is	NOMcom	 	politorem, politori	13
Politorium	, i	NOMpro	 		12
politura	, ae	NOMcom	 	politurae	11
politus	, a, um	ADJqua	 Poli 	politam, polita	21
pollen	, inis	NOMcom	 	pollinem, polline	13
pollens	, tis	ADJqua	 =POTENS, VALENS 	pollens, pollentis	25
pollentia	, ae	NOMcom	Auto. 	pollentia, Pollentia	11
polleo	, es, ere	VER	 	pollebat, pollebant	52
pollex	, icis	NOMcom	 	pollice, pollicem	13
polliceor	, re, eris, eri	VER	 	pollicitus, pollicetur	5K
pollicitatio	, nis	NOMcom	 	pollicitationibus, pollicitatione	13
pollicitor		VER	 	pollicitando	5J
pollicitum	, i	NOMcom	 	polliciti, pollicitis	12
pollinctor	, is	NOMcom	Auto. 	pollinctorem	13
pollingo		VER	 	pollinctam, pollinctum	53
Pollio	, nis	NOMpro	 		13
Pollis	, nis	NOMpro	Auto. 	Pollis	13
Pollitta	, ae	NOMpro	Auto. 	Pollitta, Pollittas	11
polluceo	, ere	VER	 	pollucenda, polluceto	52
polluo	, is, ere	VER	 	pollui, polluta	53
pollutus	, a, um	ADJqua	 =IMPVRVS (Uniquement au Fig.) 		21
Pollux	, cis	NOMpro	 		13
polus	, i	NOMcom	 	poli, polo	12
Polusca	, ae	NOMpro	 		11
Polyaenus		NOMpro	Auto. (Greek)	Polyaenus, Polyaenum	17
Polybius	, i	NOMpro	 		12
Polyboetes		NOMpro	Auto. (Greek)	Polyboeten	17
Polybus	, i	NOMpro	Auto. 	Polybus, Polybi	12
Polycletus	, i	NOMpro	Auto. 	Polycliti	12
Polyclitus	, i	NOMpro	 		12
Polydamas	, Polydamantis	NOMpro	Auto. (Greek)	Polydamas, Polydamanta	17
Polydorus	, i	NOMpro	Auto. 	Polydorum, Polydoro	12
polygonius	, a, um	ADJqua	 		21
Polyhymnia	, ae	NOMpro	Auto. 	Polyhymnia	11
Polymestor		NOMpro	Auto. 	Polymestoris	13
polymitus		ADJqua	Auto. 	polymita	2
Polypemon	, Polypemonis	NOMpro	Auto. 	Polypemone	13
Polypercon	, Polypercontis	NOMpro	Auto. 	Polypercon, Polyperconte	13
Polyphemus	, i	NOMpro	Auto. 	Polypheme, Polyphemus	12
Polyplusius		ADJqua	Auto. 	Polyplusio	2
polypus	, i	NOMcom	 	polypus, polypi	12
polyspaston		NOMcom	 (Greek)		17
Polystratus	, i	NOMpro	Auto. 	Polystratus	12
Polytimetus	, i	NOMpro	Auto. 	Polytimetum	12
Polyxena	, ae	NOMpro	Auto. 	Polyxene, Polyxena	11
Polyxenius		ADJqua	Auto. 	Polyxenia	2
pomarium	, i	NOMcom	 	pomaria, pomariis	12
pomarius1	, i	NOMcom	 	pomarius	12
pomarius2	, a, um	ADJqua	 	pomarium	21
Pomeia	, ae	NOMpro	Auto. 	Pompeiae	11
Pomeiani	, i	NOMpro	Auto. 	Pompeiani	12
pomeridianus	, a, um	ADJqua	 	postmeridianas, postmeridiano	21
pomerium	, i	NOMcom	 	pomerium, pomeria	12
Pometia	, ae	NOMpro	 		11
Pometii	, i	NOMpro	Auto. 	Pometios	12
Pometinus	, a, um	ADJqua	 		21
pomifer	, a, um	ADJqua	 	pomifer, pomiferos	21
pomosus	, a, um	ADJqua	 	pomosa, pomosis	21
pompa	, ae	NOMcom	 	pompa, pompam	11
Pompei	, i	NOMpro	Auto. 	Pompeiorum, Pompeios	12
Pompeia	, ae	NOMpro	Auto. 	Pompeiam, Pompeia	11
Pompeiani	, i	NOMpro	Auto. 	Pompeiani, Pompeianis	12
Pompeianus		ADJqua	Auto. 	Pompeianis, Pompeiani	2
Pompeii	, i	NOMpro	Auto. 	Pompeis, Pompeios	12
Pompeiopolis		NOMpro	Auto. 	Pompeiopolim	13
Pompeius	, a, um	ADJqua	 		21
Pompeius	, i	NOMpro	 		12
Pompilius	, i	NOMpro	 		12
pompilus	, i	NOMcom	Auto. 	pompile	12
Pomponia	, ae	NOMpro	Auto. 	Pomponia, Pomponiae	11
Pomponianus	, i	NOMpro	Auto. 	Pomponianam, Pomponianum	12
Pomponius	, i	NOMpro	 		12
Pomptinus	, a, um	ADJqua	 		21
Pompulenus	, i	NOMpro	Auto. 	Pompuleno, Pompulenum	12
pomum	, i	NOMcom	 	poma, pomis	12
pomus	, i	NOMcom	 	pomus	12
ponderatio	, nis	NOMcom	 		13
ponderatus	, a, um	ADJqua	 (Uniquement au Comparatif) 		21
pondero	, as, are	VER	 	ponderantur, ponderat	51
ponderosus	, a, um	ADJqua	 	ponderosas, ponderosi	21
pondo		NOMcom	 	p., pondo	16
pondus	, eris	NOMcom	 	pondere, pondus	13
pone1		ADV	 	pone	60
pone2		PRE	 	pone	70
poneuersus		PRE	 (forme en 1 ou 2 mots) 	poneuersus	70
pono	, is, ere	VER	 (pas de Sous-lemme) 	posita, posuit	53
pons	, tis	NOMcom	 	ponte, pontem	13
Pontia	, ae	NOMpro	Auto. 	Pontia, Pontiae	11
Pontici	, i	NOMpro	Auto. 	Pontici	12
ponticulus	, i	NOMcom	 	ponticuli	12
Ponticus	, a, um	ADJqua	 		21
pontifex	, icis	NOMcom	 	pontifices, pontificum	13
pontificalis	, is	ADJqua	 	pontificale, pontificalibus	24
pontificatus	, us	NOMcom	 	pontificatus, pontificatu	14
pontificius	, a, um	ADJqua	 	pontificio, pontificium	21
Pontificius	, i	NOMpro	 		12
Pontius	, i	NOMpro	Auto. 	Pontius, Pontium	12
ponto	, nis	NOMcom	 	pontones	13
pontus	, i	NOMcom	 	ponto, pontus	12
Pontus	, i	NOMpro	 		12
popa	, ae	NOMcom	 	popa, popae	11
popanum	, i	NOMcom	 	popano	12
popellus	, i	NOMcom	 	popello	12
Popilius	, i	NOMpro	 		12
popina	, ae	NOMcom	 	popina, popinae	11
popino	, nis	NOMcom	 	popino	13
poples	, itis	NOMcom	 	poplitibus, poplite	13
Poppaea	, ae	NOMpro	Auto. 	Poppaeae, Poppaea	11
Poppaeanus		ADJqua	Auto. 	Poppaeana	2
Poppaeus	, i	NOMpro	Auto. 	Poppaeo, Poppaea	12
poppysma	, tis	NOMcom	Auto. (Greek)	poppysma	17
popularis1	, 	NOMcom	 =EIVSDEM POPVLI CIVIS 	popularium, popularibus	13
popularis2	, 	ADJqua	 	popularis, populari	24
popularitas	, tis	NOMcom	 	popularitas	13
populariter		ADV	 	populariter	60
populatio	, nis	NOMcom	 	populatio, populationibus	13
populator	, is	NOMcom	 	populator, populatores	13
populeus	, a, um	ADJqua	 	populea, populeas	21
Populiana	, ae	NOMpro	Auto. 	Populiana, Populianam	11
populifer	, a, um	ADJqua	 	populifer	21
populneus	, a, um	ADJqua	 	populneam, populna	21
populo	, as, are	VER	 	populata, populat	51
Populonia	, ae	NOMpro	Auto. 	Populonia	11
populor	, aris	VER	 	populatur, populatus	5J
populus1	, i	NOMcom	 Le Peuple 	populi, populo	12
populus2	, i	NOMcom	 Le Peuplier 	populus, populo	12
porca	, ae	NOMcom	 	porca, porcam	11
porcellus	, i	NOMcom	Auto. 	porcelli	12
porcina	, ae	NOMcom	Auto. 	porcinam	11
porcinarius	, i	NOMcom	Auto. 	porcinariis	12
porcinum	, i	NOMcom	Auto. 	poricino	12
porcinus	, a, um	ADJqua	 	porcina	21
Porcius	, i	NOMpro	 	Porcia, Porcius	12
Porcius	, a, um	ADJqua	 		21
porculus	, i	NOMcom	 	porculum	12
porcus	, i	NOMcom	 	porco, porcum	12
porgo	ereere	VER	Auto. 	porgite	53
Porphyrion		NOMpro	Auto. (Greek)	Porphyrion	17
porrectio	, nis	NOMcom	 		13
porrectus	, a, um	ADJqua	 =IN LONGVM EXTENSVS, PROTENTVS 	porrecta, porrectum	21
porrigo1	, inis	NOMcom	 	porrigine	13
porrigo2	, is, ere	VER	 	porrigit, porrecta	53
Porrima	, ae	NOMpro	Auto. 	Porrima	11
porrina	, ae	NOMcom	 	porrinam	11
porro		ADV	 	porro	60
porrum	, i	NOMcom	 	porrum, porri	12
porrus	, i	NOMcom	 	porri, porris	12
Porsena	, ae	NOMpro	 		11
Porsenna	, i	NOMpro	Auto. 	Porsenna	12
porta	, ae	NOMcom	 	portas, portis	11
portatio	, nis	NOMcom	 	portationibus	13
portendo	, ere	VER	 	portendi, portendere	53
portentosus	, a, um	ADJqua	 	portentosissimae, portentosos	21
portentum	, i	NOMcom	 	portenta, portentum	12
porthmeus		NOMcom	 (Greek)	Porthmeus, porthmea	17
Porticanus	, i	NOMpro	Auto. 	Porticanus	12
porticus	, us	NOMcom	 	porticus, porticum	14
portio	, nis	NOMcom	 	portione, portio	13
portisculus	, i	NOMcom	 	portisculum	12
portitor1	, is	NOMcom	 	portitorem, portitores	13
portitor2		NOMcom	 	portitor	13
Portius	, i	NOMpro	 		12
porto	, as, are	VER	 	portare, portat	51
portorium	, i	NOMcom	 	portorium, portorio	12
portula	, ae	NOMcom	 		11
Portunus	, i	NOMpro	Auto. 	Portunum, Portunus	12
portuosus	, a, um	ADJqua	 	portuosior	21
portus	, us	NOMcom	 	portus, portum	14
Porus	, i	NOMpro	 	Porus, Porum	12
poscimus		VER	 	poscimus	53
posco	, is, ere	VER	 	poscit, poscere	53
Posides		NOMpro	 (Greek)		17
Posidonius	, i	NOMpro	Auto. 	Posidonius, Posidonio	12
Posidorus	, i	NOMpro	 		12
positio	, nis	NOMcom	 	positio, positione	13
positor	, is	NOMcom	Auto. 	positor	13
positura	, ae	NOMcom	 	positura, positurae	11
positus	, us	NOMcom	 	positu, positus	14
posotes		NOMcom	 (Greek)		17
possessio	, nis	NOMcom	 	possessionem, possessiones	13
possessor	, is	NOMcom	 	possessor, possessores	13
possideo	, es, ere	VER	 (-SEDI, -SESSVM) 	possidet, possidere	52
possido		VER	 (-SEDI, -SESSVM) 	possedit, possederat	53
possum1	, es, sse	VER	 	potest, posse	56
post1		ADV	 	post, poste	60
post2		PRE	 	post	70
postea		ADV	 	postea	60
posteaquam		CONsub	 (forme en 1 ou 2 mots) 	posteaquam, quam	82
posterga		ADV	 	posterga	60
postergum		ADV	 	postergum	60
posteri	, i	NOMcom	 Les Descendants, La Postérité 	posteris, posteros	12
posteritas	, tis	NOMcom	 	posteritatis, posteritas	13
posterius		ADV	 	postremo, posterius	6&
posterus	, a, um	ADJqua	 	postero, posterum	21
postfero		VER	 	postferendus, postferatur	56
postgenitus	, a, um	ADJqua	 	postgenitis	21
posthabeo		VER	 	posthabitus, posthabui	52
posthac		ADV	 	posthac	60
posticum	, i	NOMcom	 	postico	12
posticus	, a, um	ADJqua	 	posticae	21
postidea		ADV	Auto. 	postidea	6
postilena	, ae	NOMcom	Auto. 	postilena	11
postilio	, nis	NOMcom	Auto. 	postiliones, postilio	13
postilla		ADV	 	postilla	60
postis	, is	NOMcom	 	postes, postis	13
postliminium	, i	NOMcom	Auto. 	postliminio	12
postmeridianus	, a, um	ADJqua	 	postmeridianus, postmeridiano	21
postmodo		ADV	 	postmodo	60
postmodum		ADV	 		60
postpono	, is, ere	VER	 	postpositis, postpositi	53
postquam		CONsub	 (forme en 1 ou 2 mots) 	postquam, quam	82
postremo		ADV	 		60
postremum		ADV	 		6-
postridie		ADV	 	postridie	60
postscenium	, i	NOMcom	 	postscaenia	12
postscribo		VER	 	postscripserat	53
Postuerta	, ae	NOMpro	Auto. 	Postuerta	11
postulaticius	, a, um	ADJqua	 	postulaticiis	21
postulatio	, nis	NOMcom	 	postulatio, postulatione	13
postulatum	, i	NOMcom	 	postulata, postulatis	12
postulo	, as, are	VER	 	postulat, postulare	51
Postumia	, ae	NOMpro	Auto. 	Postumiae	11
Postumianus		ADJqua	Auto. 	Postumiana	2
Postumina	, ae	NOMpro	Auto. 	Postuminam	11
Postuminus	, i	NOMpro	Auto. 	Postuminus	12
Postumius	, i	NOMpro	 		12
Postumus	, i	NOMpro	 		12
Pota	, ae	NOMpro	 		11
Potamo	, nis	NOMpro	 		13
Potamon	, Potamonis	NOMpro	Auto. 	Potamonem	13
potatio	, nis	NOMcom	 	potatio, potationes	13
potens	, tis	ADJqua	 	potens, potentem	25
potentatus	, us	NOMcom	 	potentatu	14
potenter		ADV	 	potenter, potentius	60
potentia	, ae	NOMcom	 	potentia, potentiam	11
potestas	, tis	NOMcom	 	potestatem, potestate	13
poticius		ADJqua	Auto. 	poticio	2
potio1	, nis	NOMcom	 	potionem, potione	13
potio2		VER	 	potitus, potiuit	54
potior	, iris, iri, ier	VER	 	potitus, potitur	5M
potis	, oris	ADJqua	 	potior, potis	26
potissime		ADV	 		6-
potissimum		ADV	 	potissimum	6-
Potitii	, i	NOMpro	 		12
Potitius	, i	NOMpro	Auto. 	Potitius	12
potito	, are	VER	Auto. 	potitare, potitauit	51
Potitus	, i	NOMpro	Auto. 	Potitus	12
potiuncula	, ae	NOMcom	Auto. 	potiunculis	11
potius		ADV	 	potius, potissimum	6&
Potniades		NOMpro	Auto. 	Potniades	13
Potnias		ADJqua	Auto. 	Potniadum	2
poto	, as, are	VER	 	potare, potus	51
potor	, is	NOMcom	 	potores, potorum	13
potoro	, as, are	VER	 		51
potus1	, i	NOMcom	 		12
potus2	, us	NOMcom	 	potu, potui	14
prae1		ADV	 	prae	60
prae2		PRE	 	prae	70
praeacuo		VER	 	praeacuito, praeacuta	53
praealtus	, a, um	ADJqua	 	praealtum, praealta	21
praebeo	, es, ere	VER	 	praebuit, praebere	52
praebita	, i	NOMcom	 Les Aliments 		12
praebitor	, is	NOMcom	Auto. 	praebitorem	13
praecalidus	, a, um	ADJqua	 	praecalida	21
praecanto	, as, are	VER	Auto. 	praecantatos, praecantatis	51
praecanus	, a, um	ADJqua	 	praecanum	21
praecaueo		VER	 	praecauendum, praecauentem	52
praecedo1	, is, ere	VER	 (pas de Sous-lemme) 	praecedere, praecedunt	53
praecellens	, tis	ADJqua	 =PRAESTANS 	praecellentissimus, praecellens	25
praecello	, is, ere	VER	 	praecellebat, praecellentem	53
praecelsus	, a, um	ADJqua	 =PRAEALTVS 	praecelsa	21
praecentio	, nis	NOMcom	Auto. 	praecentio	13
praeceps1	, ipitis	NOMcom	 =LOCVS PRAECEPS (Sg.,Pl.);SVMMVM DISCRIMEN (Sg.) 	praeceps, praecipiti	13
praeceps2	, ipitis	ADJqua	 	praeceps, praecipitem	25
praeceps3		ADV	 	praeceps	60
praeceptio	, nis	NOMcom	 	praeceptionem, praeceptio	13
praeceptiuus	, a, um	ADJqua	 	praeceptiua, praeceptiuam	21
praeceptor	, is	NOMcom	 	praeceptores, praeceptor	13
praeceptrix	, cis	NOMcom	 		13
praeceptum	, i	NOMcom	 	praecepta, praeceptis	12
praecerpo	, ere	VER	 	praecerpere, praecerpam	53
praecidaneus	, a, um	ADJqua	 	praecidaneam, praecidanea	21
praecido2	, is, ere	VER	 (dérivé de CAEDO) 	praecidito, praecidi	53
praecinctio	, nis	NOMcom	 		13
praecinctura	, ae	NOMcom	 		11
praecingo	, is	VER	 	praecincti, praecinctus	53
praecino	, is, ere	VER	 	praecinere, praecinuisset	53
praecipio	, is, ere	VER	 	praecipit, praecipere	55
praecipitanter		ADV	 	praecipitanter	60
praecipitatio	, nis	NOMcom	 	praecipitatio, praecipitationis	13
praecipito	, as, are	VER	 	praecipitat, praecipitauit	51
praecipua	, i	NOMcom	  = LES CHOSES PREFERABLES (PHILOSC 		12
praecipue		ADV	 	praecipue	60
praecipuus	, a, um	ADJqua	 (pas de Sous-lemme PRAECIPVVM) 	praecipuum, praecipua	21
praecisio	, nis	NOMcom	 		13
praecisus	, a, um	ADJqua	 =DIVVLSVS, DECISVS (PR.);CASTRATVS;ABRVPTVS, PRAECEPS, CONCISVS (propos l'ORATIO);DVRVS 	praecisas, praecisis	21
praeclare		ADV	 	praeclare, praeclarissime	60
praeclarus	, a, um	ADJqua	 (pas de Sous-lemme) 	praeclara, praeclarum	21
praecludo	, is, ere	VER	 	praeclusa, praeclusit	53
praeclusio	, nis	NOMcom	 		13
praeco	, nis	NOMcom	 	praeco, praeconis	13
praecogito	, as, are	VER	 	praecogitati	51
praecolo2	, ere	VER	 (pas de Sous-lemme) 	praecolere	53
praecompono		VER	Auto. 	praecomposito	53
Praeconinus	, i	NOMpro	Auto. 	Praeconinus	12
praeconium	, i	NOMcom	 	praeconia, praeconium	12
praeconius	, i	ADJqua	Auto. 	praeconio	2
praecoquo		VER	 		53
praecordia	, i	NOMcom	 	praecordia, praecordiis	12
praecox	, quis	ADJqua	 	praecoquem, praecoci	25
praecurro	, is, ere	VER	 	praecurrere, praecurrit	53
praecursio	, nis	NOMcom	Auto. 	praecursio	13
praecursor	, is	NOMcom	 	praecursorem, praecursorum	13
praecursorius	, i	ADJqua	Auto. 	praecursoria	2
praecutio		VER	 		55
praeda	, ae	NOMcom	 	praeda, praedam	11
praedabundus	, a, um	ADJqua	 	praedabundus, praedabundi	21
praedatio	, nis	NOMcom	 	praedatio, praedationibus	13
praedator	, is	NOMcom	 	praedator, praedatores	13
praedatorius	, a, um	ADJqua	 	praedatoria, praedatorias	21
praediator	, is	NOMcom	Auto. 	praediatores	13
praediatorius	, i	ADJqua	Auto. 	praediatorio	2
praedicabilis	, is	ADJqua	 		24
praedicatio	, nis	NOMcom	 	praedicatione, praedicatio	13
praedicator	, is	NOMcom	Auto. 	praedicator, praedicatorem	13
praedico1	, as, are, preaedicatum	VER	 	praedicas, praedicare	51
praedico2	, is, ere, praedictum	VER	 	praedicere, praedico	53
praedictio	, nis	NOMcom	 	praedictiones	13
praedictum	, i	NOMcom	 	praedicta	12
praediolum	, i	NOMcom	Auto. 	praediolum	12
praedisco	, ere	VER	 	praediscere	53
praeditus	, a, um	ADJqua	 	praeditus, praeditum	21
praediues		ADJqua	 	praediuitis, praediues	22
praedium	, i	NOMcom	 	praedia, praediis	12
praedo	, nis	NOMcom	 	praedonum, praedonibus	13
praedoceo		VER	 	praedocti	52
praedomo	, as, are	VER	 	praedomuit	51
praedonulus	, i	NOMcom	 	praedonuli	12
praedor	, aris, ari	VER	 	praedandi, praedari	5J
praeduco	, is, ere	VER	 	praeduxerant, praeductam	53
praeductorius	, a, um	ADJqua	 	praeductoria	21
praedulcis	, is	ADJqua	Auto. 	praedulce	2
praedurus	, a, um	ADJqua	 	praedura, praeduro	21
praeeo1	, ire	VER	 	praeeunte, praeire	56
praefatio	, nis	NOMcom	 	praefatione, praefationem	13
praefatus1	, us	NOMcom	 		14
praefatus2	, a, um	ADJqua	 =PRAEDICTVS, PRAEMISSVS 		21
praefectura	, ae	NOMcom	 	praefectura, praefecturam	11
praefectus	, i	NOMcom	 	praefectus, praefectum	12
praefero	, rs, rre	VER	 	praetulit, praeferre	56
praeferox	, cis	ADJqua	 	praeferoces, praeferocem	25
praeferratus	, a, um	ADJqua	 	praeferratum	21
praeferuidus	, a, um	ADJqua	 	praeferuidi	21
praefestino	, as, are	VER	 	praefestinans	51
praeficio	, is, ere	VER	 	praefecit, praefecerat	55
praefidens	, tis	ADJqua	Auto. 	praefidentes	2
praefigo	, ere	VER	 	praefixa, praefigunt	53
praefinio	, is, ire	VER	 	praefinire, praefinita	54
praefiscine		ADV	Auto. 	praefiscini	6
praefloro	, as, are	VER	 	praefloratum	51
praefluo	, is	VER	 	praefluit, praefluebat	53
praefoco	, as, are	VER	Auto. 	praefocent	51
praefodio		VER	Auto. 	praefodiunt	55
praefor		VER	 	praefatus, praefato	5J
praefracte		ADV	Auto. 	praefracte	6
praefractus	, a, um	ADJqua	 	praefracti, praefractam	21
praefringo		VER	 	praefracta, praefringantur	53
praefulgeo	, es	VER	 	praefulgens, praefulgebant	52
praefurnium	, i	NOMcom	 	praefurnio, praefurniis	12
praegero		VER	 (pas de Sous-lemme) 		53
praegestio2	, is	VER	 	praegestit, praegestientis	54
praegnans	, tis	ADJqua	 	praegnas, praegnantem	25
praegracilis	, is	ADJqua	 	praegracilis	24
praegrandis	, is	ADJqua	 	praegrandi	23
praegrauis	, is	ADJqua	 	praegrauem, praegraues	24
praegrauo	, as	VER	 	praegrauat, praegrauabit	51
praegredior	, iris, edi	VER	 	praegredi, praegressus	5N
praegressus	, us	NOMcom	Auto. 	praegressus	14
praegustator	, is	NOMcom	Auto. 	praegustatori	13
praegusto	, are	VER	 	praegustarit, praegustare	51
praehibeo	, es	VER	Auto. 	praehibet, praehibeas	52
praeiaceo	, es	VER	 	praeiacet	52
praeiudicatum	, i	NOMcom	Auto. 	praeiudicati	12
praeiudicium	, i	NOMcom	 	praeiudicium, praeiudicio	12
praeiudico	, as, are	VER	 	praeiudicata, praeiudicatum	51
praelabor2	, iris, abi	VER	 	praelabebantur, praelabi	5L
praelambo		VER	 	praelambens	53
praelargus	, a, um	ADJqua	 	praelargus	21
praelego1	, as, are	VER	 		51
praelego2		VER	 	praelecto, praelegentes	53
praeliganeus	, a, um	ADJqua	 	praeliganeum	21
praeligo2	, as, are	VER	 	praeligatum, praeligemus	51
praelongus	, a, um	ADJqua	 	praelongae, praelongis	21
praeloquor	, qui	VER	Auto. 	praeloqui, praelocuti	53
praeluceo	, es	VER	 	praelucet	52
praelusio	, nis	NOMcom	Auto. 	praelusio	13
praematurus	, a, um	ADJqua	 	praematura, praematuro	21
praemedicatus	, a, um	ADJqua	 	praemedicatus	21
praemeditatus	, a, um	ADJqua	 	praemeditata	21
praemeditor	, ari	VER	 	praemeditari, praemeditans	5J
praemercor	, as, are	VER	Auto. 	<sumu'>praemercati	51
praemetuenter		ADV	 	praemetuenter	60
praemetuo		VER	 	praemetuens	53
praemineo		VER	 	praemineret, praeminebat	52
praemiosus	, a, um	ADJqua	 	praemiosam	21
praemitto	, is	VER	 	praemisit, praemittit	53
praemium	, i	NOMcom	 	praemia, praemiis	12
praemoneo	, ere	VER	 	praemoneo, praemonuisse	52
praemonstro	, are	VER	 	praemonstra, praemonstrare	51
praemordeo	, es, ere	VER	 	praemordere, praemordet	52
praemorior		VER	 	praemoriar, praemortua	5N
praemunio2	, ire	VER	 	praemuniit, praemunire	54
praenato	, as	VER	 	praenatat	51
praenauigo	, as, are	VER	 	praenauigabamus, praenauigantes	51
Praeneste	, is	NOMpro	 		13
Praenestinus		ADJqua	Auto. 	Praenestinas, Praenestinis	2
praeniteo	, es	VER	 	praeniteat, praenitet	52
praenomen	, inis	NOMcom	 	praenomen, praenomine	13
praenosco	, ere	VER	 	praenosci, praenoscere	53
praenotio	, nis	NOMcom	 		13
praenubilus	, a, um	ADJqua	 	praenubilus	21
praenuntia	, ae	NOMcom	Auto. 	praenuntia	11
praenuntio	, as, are	VER	 	praenuntient, praenuntiare	51
praenuntius1	, i	NOMcom	 	praenuntius	12
praenuntius2	, a, um	ADJqua	 	praenuntia, praenuntius	21
praeobturo	, as, are	VER	 		51
praeoccupo2	, as, are	VER	 	praeoccupare, praeoccupatus	51
praeopto	, as, are	VER	 	praeoptauerint, praeoptarent	51
praepando2	, ere	VER	 	praepandere	53
praeparatio	, nis	NOMcom	 	praeparatio, praeparationis	13
praeparatus	, a, um	ADJqua	 = ANTE PAR AT VS 	praeparatum, praeparata	21
praeparo2	, as, are	VER	 	praeparata, praeparat	51
praepedio	, is	VER	 	praepedit, praepediuntur	54
praependeo	, ere	VER	 (pas de Temps Primitifs) 	praependent, praependere	52
praepes1		NOMcom	 =AVIS 	praepes	13
praepes2	, tis	ADJqua	 	praepetis, praepetem	25
praepeto	, is	VER	 	praepetis	53
praepilatus1	, a, um	ADJqua	 	praepilata	21
praepinguis	, is	ADJqua	 	praepingue	24
praepollens	, tis	ADJqua	 	praepollentis	25
praepolleo		VER	 	praepollebant, praepollebat	52
praepolluo		VER	Auto. 	praepolluere	53
praepondero	, as, are	VER	 	praeponderari, praeponderauit	51
praepono	, is, ere	VER	 	praepositus, praeposuit	53
praeporto	, as	VER	 	praeportat, praeportant	51
praepositio	, nis	NOMcom	 	praepositionum	13
praepositus1	, i	NOMcom	 	praepositus, praepositos	12
praepostere		ADV	Auto. 	praepostere	6
praepostero1	, as, are	VER	 		51
praepostero2		ADV	 	praepostero	60
praeposterus	, a, um	ADJqua	 	praeposterus, praepostera	21
praepotens	, tis	ADJqua	 	praepotens, praepotentibus	25
praepotentes	, is	NOMcom	 Les Puissants 	praepotentibus, praepotentium	13
praeproperanter		ADV	 	praeproperanter	60
praepropere		ADV	 		60
praeproperus	, i	ADJqua	Auto. 	praepropera	2
praeputium	, i	NOMcom	 	praeputia, praeputio	12
praequam		ADV	Auto. 	praequam	6
praeradio	, as	VER	 	praeradiat	51
praerapidus	, a, um	ADJqua	 	praerapida, praerapido	21
praerigeo		VER	 	praeriguisse	52
praeripio	, ere	VER	 	praeripere, praerepta	55
praerodo		VER	 	praeroso	53
praerogatio	, nis	NOMcom	Auto. 	praerogationum	13
praerogatiua	, ae	NOMcom	 	praerogatiuam	11
praerogatiuus	, a, um	ADJqua	 	praerogatiuae, praerogatiua	21
praerumpo		VER	 	praeruptus, praerupti	53
praerupta	, i	NOMcom	 =PRAECIPITIA 	praerupta	12
praeruptum	, i	NOMcom	 		12
praeruptus	, a, um	ADJqua	 =PRAECEPS, ABRVPTVS, ARDVVS 	praerupta, praeruptis	21
praes1	, dis	NOMcom	 	praedes, praedem	13
praes2		ADV	 		60
praesaepe	, epis	NOMcom	 	praesepibus, praesepia	13
praesaepes		NOMcom	 	praesepis	13
praesaepio	, is	VER	 	praesepserat, praesaepto	54
praesagio	, is	VER	 	praesagit, praesagibat	54
praesagior	, iris	VER	Auto. 	praesagitur	54
praesagium	, i	NOMcom	 	praesagium, praesagia	12
praesagus	, a, um	ADJqua	 	praesaga, praesagi	21
praescisco	, ere	VER	 	praesciscere	53
praescius	, a, um	ADJqua	 	praescia, praescium	21
praescribo	, is, ere	VER	 	praescriptum, praescripsit	53
praescriptio	, nis	NOMcom	 	praescriptione, praescriptionibus	13
